Id заявки|Id банкомата|SN банкомата|Тип|Модель|Адреса|Місто|Область|Розташування|Локалізація|Опис заявки|Звіт|Стан заявки|Час створення|Час доступа|Плановий час|Фактичний час|Час Принтек|
2594|4049|13-45179809|flm|SelfServ 6626|м. Хмельницький, вул. Соборна, 34 (2-й АТМ)|Хмельницький|Хмельницька|Хмельницьке відділення|Принтер чековий|Необхідна заміна паперу чекового принтера. Про результат виконання робіт необхідно звітуватися за номером 0673641820.|Замена бумаги.|Заявка закрита|08.02.2019 15:56:21|08.02.2019 16:11:22|09.02.2019 08:11:00|08.02.2019 17:45:14|09.02.2019 08:11:00|
2595|4206|13-45179953|flm|SelfServ 6626|м. Дніпро, вул. Березинська, 62|Дніпро|Дніпропетровська|ЗП-ТОВ Ласунка|Принтер чековий|Необхідно перевірити роботу чекового принтера. Поточний стан: пристрій несправний. M-Status=5, 7. При собі мати папір для можливої заміни. Про результат виконання робіт необхідно звітуватися за номером 0673641820.|Нет доступа. АТМ находится на территории предприятия, куда не пустили, мотивируя такими причинами: - у меня отсутствует какой-либо документ, подтверждающий причастность к Альфа-банку; - на проходной отсутствует список сотрудников Принтек, имеющих право обслуживать АТМ; - выходной день - на предприятии отсутствует руководство, согласовать доступ не с кем. Реноме оповещен.|Заявка закрита|09.02.2019 09:01:40|09.02.2019 09:16:40|09.02.2019 13:16:00|09.02.2019 11:00:38||
2596|9832|13-40823304|atm repair|NCR PersonaS 77|м. Ходорів, вул. Шевченка, 132|Ходорів|Львівська|ЗП-ТЗОВ Вінал Агро|Принтер чековий|Повтроно! Необхідно відновити роботу чекового принтера. Поточний стан: пристрій несправний. M-Status=16. Про результат виконання робіт необхідно звітуватися за номером 0673641820.|Замінив папір, скинув помилку.|Заявка закрита|09.02.2019 11:00:27|11.02.2019 09:00:27|12.02.2019 12:00:00|11.02.2019 14:00:05|12.02.2019 12:00:00|
2597|9877|13-40829392|flm|NCR PersonaS 87|м. Харків, вул. Героїв Праці, 24А (2-й АТМ)|Харків|Харківська|Відділення Салтовське|Комунікаційне обладнання|Необхідно перевірити мережеве обладнання, зв'язок відсутній. Про результат виконання робіт необхідно звітуватися за номером 0673641820.|Заявку отменил координатор.|Заявка відхилена|09.02.2019 11:51:38|11.02.2019 09:00:38|11.02.2019 13:00:00|||
2598|4206|13-45179953|flm|SelfServ 6626|м. Дніпро, вул. Березинська, 62|Дніпро|Дніпропетровська|ЗП-ТОВ Ласунка|Принтер чековий|Необхідно перевірити роботу чекового принтера. Поточний стан: пристрій несправний. M-Status=5, 7. При собі мати папір для можливої заміни. Про результат виконання робіт необхідно звітуватися за номером 0673641820.|Заявка дана повторно.|Заявка відхилена|09.02.2019 12:06:16|11.02.2019 09:00:16||||
2599|4572|13-45181328|flm|SelfServ 6626|м. Суми, вул. Петропавлівська, 47|Суми|Сумська|магазин Художник|Принтер чековий|Необхідно перевірити роботу чекового принтера. Поточний стан: пристрій несправний. M-Status=16, 38. Лог фал додано. Про результат виконання робіт необхідно звітуватися за номером 0673641820.|Чистка датчиков  чекового принтера, тестирование успешное|Заявка закрита|10.02.2019 09:16:59|11.02.2019 09:00:00|11.02.2019 13:00:00|11.02.2019 10:50:37|11.02.2019 13:00:00|
2600|4393|13-46071667|flm|SelfServ 6622|м. Нікополь, пр. Трубникiв, 56 (2-й АТМ)|Нікополь|Дніпропетровська|ЗАТ НЗСТ ЮтіСТ|Клавіатура ЕРР|Необхідно перевірити роботу EPP-клавіатури. Поточний стан: пристрій несправний. Наразі АТМ бе з звязку. Про результат виконання робіт необхідно звітуватися за номером 0673641820.|Неуспешно, необходима заявка на ремонт и замена клавиатуры.|Заявка закрита|11.02.2019 08:09:42|11.02.2019 08:24:42|11.02.2019 17:00:00|11.02.2019 17:00:37|11.02.2019 16:24:00|
2601|9882|13-41353292|flm|NCR PersonaS 77|м. Ужгород, вул. Швабська, 36 (3-й АТМ)|Ужгород|Закарпатська|Відділення Ужгородське|Комунікаційне обладнання|Необхідно перевірити мережеве обладнання, зв'язок відсутній. Про результат виконання робіт необхідно звітуватися за номером 0673641820.|Перегрузили системный блок банкомата по питанию-банкомат заработал нормально. В Реноме отзвонились.|Заявка закрита|11.02.2019 08:31:41|11.02.2019 08:46:41|11.02.2019 13:00:00|11.02.2019 13:15:06|11.02.2019 12:46:00|
2602|2843|13-41842300|flm|NCR PersonaS 77|м. Київ, вул. Кирилівська, 142|Київ|Київська|ЗП-ПАТ Макаронна фабрика|Комунікаційне обладнання|Необхідно провести забір мережевого обладнання з АТМ у звязку зі зняттям з обслуговування АТМ. АТМ сьогодні буде розвантажено.|демонтаж комунікаційного обладнання.|Заявка закрита|11.02.2019 09:04:04|11.02.2019 09:19:04|11.02.2019 13:19:00|11.02.2019 12:30:00|11.02.2019 13:19:00|
2603|4369|13-45179952|flm|SelfServ 6626|м. Кривий Ріг, вул. Ракітіна, 13|Кривий Ріг|Дніпропетровська|Меблевий маг. Кароліна|Комунікаційне обладнання|Необхідно провести забір мережевого обладнання Радіоконект у звязку зі зняттям АТМ з обслуговування. АТМ сьогодні буде розвантажено|Демонтаж коммуникационного оборудования.|Заявка закрита|11.02.2019 09:07:46|11.02.2019 09:22:46|11.02.2019 18:00:00|11.02.2019 12:30:55|11.02.2019 17:22:00|
2604|4206|13-45179953|flm|SelfServ 6626|м. Дніпро, вул. Березинська, 62|Дніпро|Дніпропетровська|ЗП-ТОВ Ласунка|Принтер чековий|Необхідно перевірити роботу чекового принтера. Поточний стан: пристрій несправний. M-Status=5, 7. При собі мати папір для можливої заміни. Про результат виконання робіт необхідно звітуватися за номером 0673641820.|Установлен новый рулон бумаги, работоспособность восстановлена.|Заявка закрита|11.02.2019 09:20:28|11.02.2019 09:35:28|11.02.2019 13:35:00|11.02.2019 10:25:17|11.02.2019 13:35:00|
2605|4549|13-45179972|flm|SelfServ 6626|м. Десна, вул. Івана Франка, 44А|Чернігів|Чернігівська|Гарнізонне відділення|Кардрідер|Отримано скаргу з банку: неможливо фізично вставити картку в зчитувач карток. Необхідно перевірити роботу зчитувача|Изъятие застрявшей карты. Сброс ошибки, тестирование.|Заявка закрита|11.02.2019 10:11:11|11.02.2019 10:26:12|11.02.2019 18:26:00|12.02.2019 15:00:53|11.02.2019 18:26:00|
2606|4570|13-45181309|flm|SelfServ 6626|м. Харків, вул. Полтавський Шлях, 155|Харків|Харківська|магазин ГОССОН|Принтер чековий|Необхідна заміна паперу чекового принтера. Про результат виконання робіт необхідно звітуватися за номером 0673641820.|Произведена замена бумаги. Установлен последний рулон. Больше бумаги нет.|Заявка закрита|11.02.2019 11:18:02|11.02.2019 11:33:02|11.02.2019 15:33:00|11.02.2019 12:20:28|11.02.2019 15:33:00|
2607|4076|13-45179801|atm repair|SelfServ 6626|с. Дунаївці, вул. Шевченка, 51|Дунаївці|Хмельницька|Дунаєвецьке відділення|Принтер чековий|Небхідно виконати заміну чекового принтера. Третє повторення помилки протягом тижня. М-status = 16. Про результат виконання робіт необхідно звітуватися за номером 0673641820.|Принтер чековий в робочому стані. Помилки на принтер відсутні. Потрібна заміна термопаперу з відповідними характеристиками для даного принтера. Наразі встановлено термопапір з термослоєм з іншої сторони, що призводить до закручення паперу та його періодичне заминання на виході. На даний момент необхідний термопапір відсутній. Процесінг Реноме повідомлено.|Заявка закрита|11.02.2019 11:29:27|11.02.2019 11:44:27|12.02.2019 14:44:00|11.02.2019 13:30:04|12.02.2019 14:44:00|
2608|4328|13-45179940|flm|SelfServ 6626|м. Нікополь, вул. Дружби, 2|Нікополь|Дніпропетровська|ЗП-магазин Кафель-Сантехника|Принтер чековий|Необхідно перевірити роботу чекового принтера. Поточний стан: пристрій несправний. Часто повторюється M-Status=16. Про результат виконання робіт необхідно звітуватися за номером 0673641820.|Сброс ошибок, чистка датчиков, замена бумаги.Работоспособность востановлена. Оператор МЦ RENOME-SMART оповещен.|Заявка закрита|11.02.2019 12:04:00|11.02.2019 12:19:00|12.02.2019 11:19:00|11.02.2019 13:00:54|12.02.2019 11:19:00|
2609|4401|13-45179947|flm|SelfServ 6626|м. Хмільник, вул. Свободи, 19|Хмільник|Вінницька|UBC універсал бізнес корпорейт|Принтер чековий|Необхідно перевірити роботу чекового принтера. Поточний стан: пристрій несправний. M-Status=16. Про результат виконання робіт необхідно звітуватися за номером 0673641820.|Проведена чистка чекового принтера, заменен рулон бумаги.|Заявка закрита|11.02.2019 12:41:04|11.02.2019 12:56:04|12.02.2019 08:56:00|12.02.2019 08:20:57|12.02.2019 08:56:00|
2610|4328|13-45179940|flm|SelfServ 6626|м. Нікополь, вул. Дружби, 2|Нікополь|Дніпропетровська|ЗП-магазин Кафель-Сантехника|Принтер чековий|Необхідна заміна паперу чекового принтера. Про результат виконання робіт необхідно звітуватися за номером 0673641820.|Бумага заменена.|Заявка закрита|11.02.2019 13:01:05|11.02.2019 13:16:05|12.02.2019 12:16:00|11.02.2019 15:30:05|12.02.2019 12:16:00|
2611|4124|13-45179804|flm|SelfServ 6626|м. Одеса, пл. Соборна, 1 (2-й АТМ)|Одеса|Одеська|Відділення Соборна площа|Принтер чековий|Необхідна заміна паперу чекового принтера. Про результат виконання робіт необхідно звітуватися за номером 0673641820.|Замена бумаги.|Заявка закрита|11.02.2019 15:04:47|11.02.2019 15:19:47|11.02.2019 19:19:00|11.02.2019 16:00:50||
2612|4540|13-45181317|atm repair|SelfServ 6626|м. Виноградів, вул. Шевченка, 8|Виноградів|Закарпатська|Галерея|Диспенсер|Необхідно відновити роботу диспенсера. Отримано інформацію від банку:на момент приезда инкассаторов в ремнях были купюры всех номиналов, после инкассации при первой попытке снятия средств клиентом в ремнях «намотало» купюры номиналом 100 грн. Логи у вкладені. Банкомат розвантажений, переведений на транспортний ключ. Про результат виконання робіт необхідно звітуватися за номером 0673641820.|Виконано повне ТО  пік-модулів. Замінено вертикальні ремні - 6шт, втулки 10шт., ролики резинові 8шт.,шестерні 1 рем комплект. Пікарми 4шт були замінені чуть раніше. Тест проходить успішно, набір пачки з 40 купюр відбувається рівномірно та нерозкидуючи. АТМ можна завантажувати.|Заявка закрита|11.02.2019 15:42:54|11.02.2019 15:57:54|13.02.2019 09:57:00|13.02.2019 14:00:08|13.02.2019 09:57:00|
2613|4393|13-46071667|atm repair|SelfServ 6622|м. Нікополь, пр. Трубникiв, 56 (2-й АТМ)|Нікополь|Дніпропетровська|ЗАТ НЗСТ ЮтіСТ|Клавіатура ЕРР|Небхідно виконати заміну ЕРР клавіатури.Під час попереднього виїзду інженером виявлено необхідність заміни деталі. Про результат виконання робіт необхідно звітуватися за номером 0673641820.|Замена епп клавиатуры, работоспособность восcтановлена, проведена тестовая транзакция. Оператор МЦ RENOME-SMART оповещен.|Заявка закрита|11.02.2019 17:10:10|11.02.2019 17:25:10|13.02.2019 11:25:00|13.02.2019 17:00:00|12.02.2019 05:25:10|
2614|4127|13-45179879|flm|SelfServ 6626|м. Маріуполь, вул. Грецька, 43 (2-й АТМ)|Маріуполь|Донецька|Маріупольське відділення|Комунікаційне обладнання|Необхідно перевірити мережеве обладнання, зв'язок відсутній. Про результат виконання робіт необхідно звітуватися за номером 0673641820.|Заявку отменили. АТМ заработал.|Заявка відхилена|11.02.2019 17:18:34|11.02.2019 17:33:34|13.02.2019 13:00:00||12.02.2019 16:33:00|
2615|9853|13-40681841|atm repair|NCR PersonaS 77|м. Київ, вул. Василенка, 5|Київ|Київська|ЗП-Київгаз|Диспенсер|Необхідно відновити роботу диспенсера. M-Status=5. Затиснення готівки. Логи у вкладені. Банкомат розвантажений. Про результат виконання робіт необхідно звітуватися за номером 0673641820.|Вандализм, выявлена отбитая антискримминговая накладка. Закрепил накладку на место, приклеил ответную часть на лицевой панели. Провел ТО ридера, протестировал работу ридера. Про результат виконання робіт звітуватися за номером 0673641820.|Заявка закрита|11.02.2019 17:36:58|11.02.2019 17:51:58|12.02.2019 16:53:00|12.02.2019 15:00:12|12.02.2019 16:51:00|
2616|4163|13-45179924|atm repair|SelfServ 6626|м. Кропивницький, вул. Дворцова, 25 (2-й АТМ)|Кропивницький|Кіровоградська|Кропивницьке відділення|Кардрідер|Небхідно виконати заміну антискімінгової накладки, інкасація повідомила що остання накладка відпала. Про результат виконання робіт необхідно звітуватися за номером 0673641820.|||11.02.2019 17:38:19|11.02.2019 17:53:19|||12.02.2019 16:53:00|
2617|4208|13-45179868|atm repair|SelfServ 6626|м. Одеса, вул. Люстдорфська дорога, 5|Одеса|Одеська|ЗП-Бізнес-центр|Системний блок|Небхідно виконати переінсталяцію/встановлення агента х4. Отримано інформацію від банку АТМ розвантажать завтра 12.02.2019 до 12:00. Про результат виконання робіт необхідно звітуватися за номером 0673641820.|Заявка есть в работе|Заявка відхилена|11.02.2019 17:51:22|12.02.2019 12:00:00||||
2618|4163|13-45179924|flm|SelfServ 6626|м. Кропивницький, вул. Дворцова, 25 (2-й АТМ)|Кропивницький|Кіровоградська|Кропивницьке відділення|Принтер чековий|Необхідно перевірити роботу чекового принтера. Поточний стан: пристрій несправний. M-Status=16. Про результат виконання робіт необхідно звітуватися за номером 0673641820.|Извлечение застрявшего чека. Тестирование чекового принтера.|Заявка закрита|11.02.2019 19:43:47|12.02.2019 09:00:00|12.02.2019 13:00:00|12.02.2019 12:40:58|12.02.2019 13:00:00|
2619|9821|13-41353561|flm|NCR PersonaS 77|м. Одеса, вул. Дворянська, 32|Одеса|Одеська|ЗП-Одеське училище|Комунікаційне обладнання|Необхідно перевірити мережеве обладнання, зв'язок відсутній. Про результат виконання робіт необхідно звітуватися за номером 0673641820.|Был отключен блок питания коммуникационного оборудования. Включен обратно. Банкомат на связи.|Заявка закрита|11.02.2019 19:55:54|12.02.2019 09:00:00|12.02.2019 13:00:00|12.02.2019 12:50:35|12.02.2019 13:00:00|
2620|9882|13-41353292|flm|NCR PersonaS 77|м. Ужгород, вул. Швабська, 36 (3-й АТМ)|Ужгород|Закарпатська|Відділення Ужгородське|Комунікаційне обладнання|Необхідно перевірити мережеве обладнання, зв'язок відсутній. Про результат виконання робіт необхідно звітуватися за номером 0673641820.|АТМ заработал|Заявка відхилена|12.02.2019 07:57:27|12.02.2019 09:00:00|12.02.2019 13:00:00|||
2621|4076|13-45179801|atm repair|SelfServ 6626|с. Дунаївці, вул. Шевченка, 51|Дунаївці|Хмельницька|Дунаєвецьке відділення|Принтер чековий|Небхідно виконати заміну чекового принтера. Четверте повторення помилки протягом тижня. М-status = 16. Про результат виконання робіт необхідно звітуватися за номером 0673641820.|Читати попередній звіт.|Заявка відхилена|12.02.2019 09:22:13|12.02.2019 09:37:14||||
2622|9953|13-41376359|atm repair|NCR PersonaS 77|м. Маріуполь, бул. 50 років СРСР, 77|Маріуполь|Донецька|ЗП-Магазин Брусничка|Диспенсер|Небхідно виконати налаштування касет з номіналу 10грн. на номінал 200грн . Касета знаходиться Мариуполь пр.Мира 87 а, к.т 0962323645 Ирина Про результат виконання робіт необхідно звітуватися за номером 0673641820.|Настройка 3-х кассет с номинала 10 грн. 1 тип на номинал 200 грн. 2 тип|Заявка закрита|12.02.2019 09:29:11|12.02.2019 09:44:11|13.02.2019 12:44:00|13.02.2019 17:30:53|13.02.2019 12:44:00|
2623|9882|13-41353292|flm|NCR PersonaS 77|м. Ужгород, вул. Швабська, 36 (3-й АТМ)|Ужгород|Закарпатська|Відділення Ужгородське|Комунікаційне обладнання|Згідно вашого звернення. Для діагностики ББЖ. Необхідно перевірити мережеве обладнання, зв'язок відсутній. Про результат виконання робіт необхідно звітуватися за номером 0673641820.|Причина поломки: моторессурс ИБП за 10 лет работы исчерпался. Нужна замена  ИБП. После того,как мы подключили банкомат напрямую-АТМ заработал нормально. Следует отметить, что последний месяц имеются постоянные отключение электроенергии, особенно в ночное время. В Реноме отзвонились.|Заявка закрита|12.02.2019 09:56:44|12.02.2019 10:11:44|12.02.2019 14:11:00|12.02.2019 10:40:31|12.02.2019 14:11:00|
2624|4122|13-45181304|atm repair|SelfServ 6626|м. Харків, вул. Гоголя, 10 (3-й АТМ)|Харків|Харківська|Харківське відділення|Диспенсер|Небхідно виконати переналаштування касет на інший номінал м. Харків, вул. Гоголя, 10 контакт 0976625207 . Про результат виконання робіт необхідно звітуватися за номером 0673641820.|Просьба указать количество и номиналы кассет|Заявка відхилена|12.02.2019 10:49:52|12.02.2019 11:04:52||||
2625|4122|13-45181304|atm repair|SelfServ 6626|м. Харків, вул. Гоголя, 10 (3-й АТМ)|Харків|Харківська|Харківське відділення|Диспенсер|Небхідно виконати переналаштування касет 15шт. на номінал 500грн м. Харків, вул. Гоголя, 10 контакт 0976625207 . Про результат виконання робіт необхідно звітуватися за номером 0673641820.|Данные работы необходимо согласовывать с банком|Заявка відхилена|12.02.2019 11:18:56|12.02.2019 11:33:56||||
2626|4122|13-45181304|atm repair|SelfServ 6626|м. Харків, вул. Гоголя, 10 (3-й АТМ)|Харків|Харківська|Харківське відділення|Диспенсер|Небхідно виконати переналаштування касет 15шт. на номінал 500грн м. Харків, вул. Гоголя, 10 контакт 0976625207 . Про результат виконання робіт необхідно звітуватися за номером 0673641820.|Доп. работы на платной основе.|Заявка закрита|12.02.2019 12:01:59|12.02.2019 12:16:59|13.02.2019 11:16:00|13.02.2019 11:00:17|13.02.2019 11:16:00|
2627|9912|13-39662726|flm|NCR PersonaS 77|м. Харків, вул. Гагаріна, 20А|Харків|Харківська|Відділення Харківське №6|Принтер чековий|Необхідно перевірити роботу чекового принтера. Поточний стан: пристрій несправний. M-Status=16. Про результат виконання робіт необхідно звітуватися за номером 0673641820.|Извлечен застрявший чек. Сброшена ошибка. В принтере практически нет бумаги, толщина рулона менее 1 см. Банк бумагу для замены не предоставил.|Заявка закрита|12.02.2019 13:29:28|12.02.2019 13:44:28|12.02.2019 17:44:00|12.02.2019 15:15:48|12.02.2019 17:44:00|
2628|9891|13-40290496|flm|NCR PersonaS 77|м. Вугледар, вул. Трифонова, 8А (2-й АТМ)|Вугледар|Донецька|Відділення Вугледарське|Принтер чековий|Необхідно перевірити роботу чекового принтера. Поточний стан: пристрій несправний. M-Status=16. Про результат виконання робіт необхідно звітуватися за номером 0673641820.|Извлечён застрявший чек. Тестирование принтера (чек застряёт). Необходима ремонтная заявка (уже создана).|Заявка закрита|12.02.2019 15:46:17|12.02.2019 16:01:17|13.02.2019 15:01:00|14.02.2019 11:20:42|13.02.2019 15:01:00|
2629|4381|13-45167159|atm repair|SelfServ 6622|с. Яснозір'я, вул. Центральна, 82|Яснозір'я|Черкаська|ЗП-ТОВ Верес|Диспенсер|Необхідно відновити роботу диспенсера, невдала інкасація - не проходить тест злистування. M-Status=12. Логи у вкладені. Банкомат розвантажений. Про результат виконання робіт необхідно звітуватися за номером 0673641820.|Диагностика. Порвался ремень ЛВДТ, остальные растрескались. Склеил суперклеем и проклеил трещины на всех, укрепил склейки лейкопластырем. Чистка датчиков, шестерен и ЛВДТ, чистка полувалов, промыл присоски, заменил одну двойную шестерню в первом модуле. Тестирование на выдачу со всех модулей по 40 шт. АТМ необходимо обучить. Презентер рекомендуется заменить. Модуль заказал, нужна будет разгрузка и заявка на замену после получения.|Заявка закрита|12.02.2019 16:43:30|12.02.2019 16:58:30|14.02.2019 10:58:00|13.02.2019 14:50:56|14.02.2019 10:58:00|
2630|9970|13-41376386|flm|NCR PersonaS 77|м. Одеса, вул. Прохорівська, 40 (2-й АТМ)|Одеса|Одеська|Відділення Одеське №7|Касета|Необхідно провести перевірку касет (2х100, 2х500). Адреса розміщення касет: м. Одеса,  Ю.Олеші, 6, каб. 111. Контакт: 096-83-84-173 - Светлана Про результат виконання робіт необхідно звітуватися за номером 0673641820.|Осмотр и настройка 4х кассет. Одна кассета битая (повреждена шторка).|Заявка закрита|12.02.2019 17:29:02|12.02.2019 17:44:02|13.02.2019 09:44:00|13.02.2019 10:20:08|13.02.2019 09:44:00|
2631|4576|13-45181321|flm|SelfServ 6626|м. Краматорськ, вул. Південна, 1|Краматорськ|Донецька|Приміщення міськгазу|Комунікаційне обладнання|Необхідно перевірити мережеве обладнання, зв'язок відсутній. Про результат виконання робіт необхідно звітуватися за номером 0673641820.|АТМ заработал|Заявка відхилена|13.02.2019 10:39:03|13.02.2019 10:54:03|13.02.2019 18:54:00||13.02.2019 18:54:03|
2632|4067|13-45179962|atm repair|SelfServ 6626|м. Нікополь, пр. Трубників, 11А (2-й АТМ)|Нікополь|Дніпропетровська|Нікопольське відділення|Диспенсер|Необхідно встановити обігрів диспенсера. Про результат виконання робіт необхідно звітуватися за номером 0673641820.|Банкомат по FLM не обслуживается.|Заявка відхилена|13.02.2019 10:59:30|13.02.2019 11:14:30||||
2633|4099|13-45179965|flm|SelfServ 6626|м. Харків, пр. Гагаріна, 244|Харків|Харківська|Основянське відділення|Комунікаційне обладнання|Необхідно перевірити мережеве обладнання, зв'язок відсутній. Про результат виконання робіт необхідно звітуватися за номером 0673641820.|При подъезде, АТМ работал. Проведена транзакция по снятию наличных в 12:53|Заявка закрита|13.02.2019 11:23:51|13.02.2019 11:38:51|13.02.2019 15:38:00|13.02.2019 12:55:24|13.02.2019 15:38:51|
2634|4268|13-45181307|flm|SelfServ 6626|м. Красилів, вул. Центральна, 43 (2-й АТМ)|Красилів|Хмельницька|Красилівське відділення|Принтер чековий|Необхідно перевірити роботу чекового принтера. Поточний стан: пристрій несправний. M-Status=17. Про результат виконання робіт необхідно звітуватися за номером 0673641820.|АТМ заработал|Заявка відхилена|13.02.2019 12:43:44|13.02.2019 12:58:44|14.02.2019 08:58:00||14.02.2019 09:58:44|
2635|9929|13-40823305|flm|NCR PersonaS 77|м. Новогродівка, вул. Шахтна, 1 (1-й АТМ)|Новогродівка|Донецька|ЗП-Шахта 3 Новогродівська|Комунікаційне обладнання|Необхідно перевірити мережеве обладнання, зв'язок відсутній. Про результат виконання робіт необхідно звітуватися за номером 0673641820.|АТМ заработал|Заявка відхилена|13.02.2019 14:58:42|13.02.2019 15:13:42|14.02.2019 14:13:00|||
2636|9832|13-40823304|flm|NCR PersonaS 77|м. Ходорів, вул. Шевченка, 132|Ходорів|Львівська|ЗП-ТЗОВ Вінал Агро|Комунікаційне обладнання|Необхідно перевірити мережеве обладнання, зв'язок відсутній. Про результат виконання робіт необхідно звітуватися за номером 0673641820.|Перезавантаження банкомату.|Заявка закрита|13.02.2019 14:59:45|13.02.2019 15:14:45|14.02.2019 11:14:00|13.02.2019 17:00:03|14.02.2019 11:14:45|
2637|4440|13-45179971|atm repair|SelfServ 6626|м. Чудей, вул. Карпатська, 1|Чудей|Чернівецька|Магазин|Диспенсер|Необхідно відновити роботу диспенсера, невдала інкасація, проблеми із 3 та 4 слотом. Постійний M-Status=5. Логи у вкладені. Банкомат розвантажений. Про результат виконання робіт необхідно звітуватися за номером 0673641820.|Проведено ТО диспенсера, заменены вакуумные чашки. Оказано содействие инкассации, обучение купюрам. Банкомат работает.|Заявка закрита|13.02.2019 15:14:05|13.02.2019 15:29:05|15.02.2019 09:29:00|15.02.2019 15:20:22|14.02.2019 18:29:05|
2638|9821|13-41353561|flm|NCR PersonaS 77|м. Одеса, вул. Дворянська, 32|Одеса|Одеська|ЗП-Одеське училище|Комунікаційне обладнання|Необхідно перевірити мережеве обладнання, зв'язок відсутній. Про результат виконання робіт необхідно звітуватися за номером 0673641820.|АТМ заработал|Заявка відхилена|13.02.2019 19:47:50|14.02.2019 09:00:00|14.02.2019 13:00:00|||
2639|9898|13-41353867|atm repair|NCR PersonaS 77|м. Краматорськ, вул. Ордженикидзе, 5 (1-й АТМ)|Краматорськ|Донецька|ЗП-ПАТ НКМЗ|Лицева панель|Необхідно відновити роботу дверей фальш-панелі. За отриманою інфнромацію їх пошкодила інкасація. Про результат виконання робіт необхідно звітуватися за номером 0673641820.|Проверил, протестировал. Все нормально.|Заявка закрита|14.02.2019 10:07:18|14.02.2019 10:22:19|15.02.2019 13:22:00|14.02.2019 11:40:52|15.02.2019 13:22:00|
2640|9812|13-41353869|atm repair|NCR PersonaS 77|м. Черкаси, пр. Хіміків, 76|Черкаси|Черкаська|ЗП-Черкаське хімволокно|Диспенсер|Небхідно виконати налаштування касети номіналом 50 грн. Касета знаходиться м. Черкаси, вул. О. Дашковича, 20 Погрібняк Т 0472 360104 . Про результат виконання робіт необхідно звітуватися за номером 0673641820.|Перенастроил одну кассету с 10 грн. на 50 грн. тип 3. Отзвонился на мониторинг Реноме.|Заявка закрита|14.02.2019 10:33:46|14.02.2019 10:48:46|15.02.2019 09:48:00|15.02.2019 09:45:14|15.02.2019 09:48:00|
2641|4420|13-45181323|flm|SelfServ 6626|м. Київ, вул. Преображенська, 5/2|Київ|Київська|Інститут Будівельних конструкцій|Комунікаційне обладнання|Необхідно перевірити мережеве обладнання, зв'язок відсутній. Про результат виконання робіт необхідно звітуватися за номером 0673641820.|В здании проходят ремонтные работы. Электроэнергия отсутствует. Со слов работника подача возобновится к вечеру.|Заявка закрита|14.02.2019 11:36:46|14.02.2019 11:51:46|14.02.2019 15:51:00|14.02.2019 14:25:50|14.02.2019 15:51:00|
2642|9891|13-40290496|atm repair|PersonaS 77|м. Вугледар, вул. Трифонова, 8А (2-й АТМ)|Вугледар|Донецька|Відділення Вугледарське|Принтер чековий|Необхідно відновити роботу принтера. Роботи вже виконанні. Банкомат розвантажений. Про результат виконання робіт необхідно звітуватися за номером 0673641820.|Выполнен ремонт чекового принтера с заменой комплектующих (ремень чекового принтера). Тестирование (ок). АТМ в сервисе.|Заявка закрита|14.02.2019 12:30:30|14.02.2019 12:45:30|15.02.2019 15:45:00|14.02.2019 12:00:29||
2643|4677|13-45179908|atm repair|SelfServ 6622|м. Київ, пр. Степана Бандери, 23А|Київ|Київська|Магазин Сітi Ком ТЦ Городок|Диспенсер|Необхідно відновити роботу диспенсера. M-Status=12. Логи у вкладені. Банкомат розвантажений. Про результат виконання робіт необхідно звітуватися за номером 0673641820.|Ложный вызов, банкомат не обучен, изьяли 3000 гр, оставили в сейфе. Необходимо переобучить банкомат на деньги.|Заявка закрита|14.02.2019 12:44:55|14.02.2019 12:59:55|15.02.2019 11:59:00|14.02.2019 16:30:22||
2644|4225|13-45181295|flm|SelfServ 6626|м. Краматорськ, вул. Паркова, 30|Краматорськ|Донецька|ЗП-аптека  Фармація|Комунікаційне обладнання|Необхідно перевірити мережеве обладнання, зв'язок відсутній. Про результат виконання робіт необхідно звітуватися за номером 0673641820.|АТМ заработал|Заявка відхилена|14.02.2019 13:58:55|14.02.2019 14:13:55|15.02.2019 13:13:00|||
2645|9853|13-40681841|atm repair|PersonaS 77|м. Київ, вул. Василенка, 5|Київ|Київська|ЗП-Київгаз|Монітор користувацький|Небхідно виконати заміну монітора. Про результат виконання робіт необхідно звітуватися за номером 0673641820.|Произвел замену монитора.|Заявка закрита|14.02.2019 15:10:45|14.02.2019 15:25:45|15.02.2019 14:25:00|14.02.2019 15:00:34|15.02.2019 17:25:45|
2646|4411|13-45179916|flm|SelfServ 6622|м. Запоріжжя, вул. Сталеварів, 31А|Запоріжжя|Запорізька|Медичне відділення|Принтер чековий|Необхідно перевірити роботу чекового принтера. Поточний стан: пристрій несправний. M-Status=17. Рекомендація мати папір для ймовірної заміни.  Про результат виконання робіт необхідно звітуватися за номером 0673641820.|Принтер заработал|Заявка відхилена|15.02.2019 10:17:10|15.02.2019 10:32:11|15.02.2019 14:32:00||15.02.2019 14:32:00|
